City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Nova Borova,UA,2022-02-06 20:27:52,50.693,28.6345,31.06,92,98,14.63,overcast clouds
223,Mwaya,TZ,2022-02-06 20:27:53,-9.55,33.95,71.19,86,100,2.44,overcast clouds
224,Washington,US,2022-02-06 20:23:47,47.5001,-120.5015,51.04,81,100,3.06,overcast clouds
225,Ahipara,NZ,2022-02-06 20:28:54,-35.1667,173.1667,73.51,97,100,6.22,overcast clouds
226,Abha,SA,2022-02-06 20:28:54,18.2164,42.5053,52.05,87,0,0.0,clear sky
227,Lerwick,GB,2022-02-06 20:28:55,60.1545,-1.1494,39.2,57,28,30.27,scattered clouds
228,Nishihara,JP,2022-02-06 20:28:55,26.1842,127.7558,58.28,62,75,6.91,broken clouds
229,Roald,NO,2022-02-06 20:27:09,62.5833,6.1333,39.0,81,75,14.97,light rain
230,Alta Floresta,BR,2022-02-06 20:28:56,-9.8756,-56.0861,87.62,66,75,2.3,broken clouds
231,Rio Claro,BR,2022-02-06 20:28:56,-22.4114,-47.5614,82.4,72,100,6.17,overcast clouds
232,Dickinson,US,2022-02-06 20:28:57,29.4608,-95.0513,60.19,63,0,1.01,clear sky
233,Berlevag,NO,2022-02-06 20:28:57,70.8578,29.0864,22.95,74,40,12.66,scattered clouds
234,Cidreira,BR,2022-02-06 20:28:58,-30.1811,-50.2056,80.22,55,0,11.52,clear sky
235,Kahului,US,2022-02-06 20:28:58,20.8947,-156.47,79.86,68,0,16.11,clear sky
236,Bacalar,MX,2022-02-06 20:28:59,18.6667,-88.3833,80.71,83,75,11.5,broken clouds
237,Ibipeba,BR,2022-02-06 20:28:59,-11.6408,-42.0111,79.63,59,100,7.52,moderate rain
238,Bathsheba,BB,2022-02-06 20:28:59,13.2167,-59.5167,81.21,69,40,17.27,scattered clouds
239,Belmonte,BR,2022-02-06 20:24:26,-15.8631,-38.8828,84.2,69,8,8.23,clear sky
240,Korla,CN,2022-02-06 20:27:40,41.7597,86.1469,23.36,47,5,3.94,clear sky
241,Oeiras,BR,2022-02-06 20:29:00,-7.0253,-42.1311,89.01,47,100,4.25,overcast clouds
242,Constitucion,CL,2022-02-06 20:25:56,-35.3333,-72.4167,71.06,57,10,10.69,clear sky
243,Pangnirtung,CA,2022-02-06 20:28:12,66.1451,-65.7125,-29.2,68,75,3.44,broken clouds
244,Huarmey,PE,2022-02-06 20:29:01,-10.0681,-78.1522,74.98,71,30,10.36,scattered clouds
245,Summerville,US,2022-02-06 20:27:16,33.0185,-80.1757,46.9,62,100,1.01,overcast clouds
246,Ciudad Bolivar,VE,2022-02-06 20:29:02,8.1222,-63.5497,91.44,42,97,10.8,overcast clouds
247,Tanout,NE,2022-02-06 20:29:02,14.9709,8.8879,65.5,11,0,12.33,clear sky
248,Bambous Virieux,MU,2022-02-06 20:29:03,-20.3428,57.7575,79.21,83,75,6.91,light rain
249,Baculin,PH,2022-02-06 20:29:03,7.4525,126.5842,76.08,87,91,7.25,overcast clouds
250,Bengkulu,ID,2022-02-06 20:26:12,-3.8004,102.2655,76.12,87,100,10.31,overcast clouds
251,Colina,BR,2022-02-06 20:29:04,-20.7133,-48.5408,78.42,79,100,4.36,overcast clouds
252,Baruun-Urt,MN,2022-02-06 20:27:06,46.6806,113.2792,-1.07,89,10,6.64,clear sky
253,Ola,RU,2022-02-06 20:29:04,59.5833,151.2833,2.14,73,54,11.03,broken clouds
254,Almeria,ES,2022-02-06 20:29:05,37.1667,-2.3333,49.44,88,5,2.35,clear sky
255,Coihaique,CL,2022-02-06 20:29:05,-45.5752,-72.0662,84.81,34,20,8.05,few clouds
256,Avarua,CK,2022-02-06 20:29:06,-21.2078,-159.775,80.65,83,84,11.5,broken clouds
257,Isangel,VU,2022-02-06 20:29:07,-19.55,169.2667,77.11,94,100,0.0,overcast clouds
258,Fortuna,US,2022-02-06 20:28:33,40.5982,-124.1573,63.93,58,0,1.99,clear sky
259,Aguimes,ES,2022-02-06 20:29:08,27.9054,-15.4461,64.65,77,20,17.27,few clouds
